Scrubs,,,,,,,,,,
Parks and rec,,,,,,,,,,
Brooklyn 99,,,,,,,,,,
Community,,,,,,,,,,
Sword Art Online,,,,,,,,,,
Jack Ryan,id,Anime CR,Netflix,Prime,Star+,HBO,,Si +5 temps,si,
Succession,1,JJK,The Witcher,Jack Ryan,Scrubs,Succession,Succession,Scrubs,Succession,His Dark Materials
Megalobox,2,Demon Slayer,Brooklyn 99,Supernatural,Reboot,the Oc,House of the Dragon/GOT,Parks and rec,Megalobox*,The Last Dance
Reboot,3,86,How to get away with Murder,The Good Doctor,Only Murders in the Building,House of the Dragon/GOT,His Dark Materials,Brooklyn 99,Reboot,Chernobyl
Eighty Six,4,Yamada-kun,Shaman King *,Wheel of time,Sons of Anarchy,His Dark Materials,Megalobox*,Community,Eighty Six,Haikyuu
Only Murders in the Building,5,Gundam Witch,Erased*,The office,,Gossip Girl,The Sopranos,Sword Art Online,Only Murders in the Building,Mob Psycho 100
Shaman King,6,My Hero Academia,The Umbrella Academy,The midnight Manager,,Megalobox*,Scrubs,Jack Ryan,Shaman King *,Supernatural
Erased,7,Ranking of Kings,Titans,Yellowstone,,dr house,Reboot,,Erased*,House of cards
Beef,8,Blue Lock,House of cards,Chernobyl,,The Sopranos,Only Murders in the Building,,beef,The Ranch
Love and Death,9,Attack on Titan,beef,Parks and rec,,Love and Death,Sons of Anarchy,,Love and Death,Yamada-kun
The hauting of hillhouse,10,Sword Art Online,The Ranch,,,,Supernatural,,the hauting of hillhouse,House of the Dragon/GOT
Attack on Titan,11,Mob Psycho 100,the hauting of hillhouse,Yellowstone,,,Parks and rec,,Attack on Titan*,
Psycho Pass,12,Code Geass,Money Heist Corea,How to get away with Murder,,,Yellowstone,,Psycho Pass*,
Demon Slayer,13,Haikyuu,The Last Dance,The Sopranos,,,Chernobyl,,Demon Slayer,
Ranking of Kings,14,Orange,Black Mirror,Sons of Anarchy,,,Brooklyn 99,,Ranking of Kings,
,15,Death Parade,Love Death and Robots,,,,How to get away with Murder,,,
,16,Vivy,Community,,,,Shaman King *,,,
,17,Angel beats,Psycho Pass*,,,,Erased*,,,
,18,,Kuroko no Basket*,,,,House of cards,,,
,19,,,,,,beef,,,
,20,17,18,8,4,9,the hauting of hillhouse,,,Mob Psycho 100
,21,,,,,,The Ranch,,,
,22,,,,,,Love and Death,,,
,23,,,,,,Community,,,
,24,,,,,,Psycho Pass*,,,
,25,,,,,,The Last Dance,,,
,26,,,,,,Demon Slayer,,,
,27,,,,,,Eighty Six,,,
,28,,,,,,Yamada-kun,,,
,29,,,,,,Ranking of Kings,,,
,30,,,,,,Mob Psycho 100,,,
,31,,,,,,Haikyuu,,,
,32,,,,,,Attack on Titan,,,
,33,,,,,,Sword Art Online,,,
,34,,,,,,Mob Psycho 100,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Scrubs,,,,,,,
,,,Parks and rec,,,,,,,
,,,Brooklyn 99,,,,,,,
,,,Community,,,,,,,
,,,Sword Art Online,,,,,,,
,,,Jack Ryan,,,,,,,
,,,Succession,,,,,,,
,,,Megalobox,,,,,,,
,,,Reboot,,,,,,,
,,,Eighty Six,,,,,,,
,,,Only Murders in the Building,,,,,,,
,,,Shaman King,,,,,,,
,,,Erased,,,,,,,
,,,Beef,,,,,,,
,,,Love and Death,,,,,,,
,,,The hauting of hillhouse,,,,,,,
,,,Attack on Titan,,,,,,,
,,,Psycho Pass,,,,,,,
,,,Demon Slayer,,,,,,,
,,,Ranking of Kings,p,,,,,,
